id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
54334,254811,within an hour,t,t,t,Quartier 5-1,46.914,-71.19565,Entire serviced apartment,Entire home/apt,5,1.5 baths,2,115,2,180,276,94,4.82,t,0.78,11,100,100,4.7449321284,1
138381,675584,within an hour,f,t,f,Sillery,46.76843,-71.26636,Private room in bed and breakfast,Private room,3,1 private bath,2,145,1,365,358,147,4.91,f,1.22,10,100,100,4.9767337424,1
198548,960772,within a day,t,t,t,Saint-Roch,46.81169,-71.22522,Entire apartment,Entire home/apt,4,1 bath,1,150,30,1125,252,51,4.72,f,0.43,10,100,100,5.0106352941,1
214967,1110010,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room in townhouse,Private room,2,1 shared bath,1,83,3,33,346,163,4.94,f,1.51,10,100,100,4.4188406078,1
502417,2479300,within an hour,f,t,t,Saint-Jean-Baptiste,46.80664,-71.22599,Entire apartment,Entire home/apt,7,1 bath,4,98,2,60,79,178,4.21,f,1.67,9,100,100,4.5849674787,1
517628,2216595,within an hour,f,t,f,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire townhouse,Entire home/apt,8,1.5 baths,5,340,2,30,10,15,4.8,t,0.65,9,100,100,5.8289456176,1
562682,2479300,within an hour,f,t,t,Saint-Jean-Baptiste,46.80664,-71.22599,Entire apartment,Entire home/apt,4,1 bath,2,70,90,90,79,103,4.37,t,1.76,9,100,100,4.248495242,1
588889,2904660,within a few hours,f,t,t,Lac-Saint-Charles,46.93219,-71.38034,Entire house,Entire home/apt,8,1.5 baths,5,300,7,8,3,4,4.75,f,0.07,9,100,100,5.7037824747,0.6563390626
652744,2479300,within an hour,f,t,t,Saint-Jean-Baptiste,46.80664,-71.22599,Entire apartment,Entire home/apt,4,1 bath,3,65,2,60,79,122,4.21,t,1.48,9,100,100,4.1743872699,1
652815,2479300,within an hour,f,t,t,Saint-Jean-Baptiste,46.80664,-71.22599,Private room in nature lodge,Private room,3,1 shared bath,2,60,90,90,269,104,4.48,t,0.98,9,100,100,4.0943445622,1
