"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1","54334","254811",2010-10-06,"within an hour",100,100,"t","t","t","Quartier 5-1",46.914,-71.19565,"Entire serviced apartment","Entire home/apt",5,"1.5 baths",2,115,2,180,276,94,4.82,"t",0.78,11
"2","138381","675584",2011-06-07,"within an hour",100,100,"f","t","f","Sillery",46.76843,-71.26636,"Private room in bed and breakfast","Private room",3,"1 private bath",2,145,1,365,358,147,4.91,"f",1.22,10
"3","198548","960772",2011-08-12,"within a day",100,100,"t","t","t","Saint-Roch",46.81169,-71.22522,"Entire apartment","Entire home/apt",4,"1 bath",1,150,30,1125,252,51,4.72,"f",0.43,10
"4","214967","1110010",2011-09-04,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80286,-71.21271,"Private room in townhouse","Private room",2,"1 shared bath",1,83,3,33,346,163,4.94,"f",1.51,10
"5","268812","1408583",2011-11-15,"N/A",NA,0,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81023,-71.21082,"Entire apartment","Entire home/apt",4,"1 bath",0,40,30,1000,0,77,4.88,"f",0.67,10
"6","330502","1686119",2012-02-01,"N/A",NA,NA,"f","t","f","Vieux-Moulin",46.85134,-71.21403,"Entire house","Entire home/apt",4,"1 bath",2,89,3,1125,187,33,4.87,"f",0.29,9
"7","502417","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",7,"1 bath",4,98,2,60,79,178,4.21,"f",1.67,9
"8","517628","2216595",2012-04-24,"within an hour",100,100,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80552,-71.20696,"Entire townhouse","Entire home/apt",8,"1.5 baths",5,340,2,30,10,15,4.8,"t",0.65,9
"9","562682","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",4,"1 bath",2,70,90,90,79,103,4.37,"t",1.76,9
"10","588889","2904660",2012-07-11,"within a few hours",100,100,"f","t","t","Lac-Saint-Charles",46.93219,-71.38034,"Entire house","Entire home/apt",8,"1.5 baths",5,300,7,8,3,4,4.75,"f",0.07,9
"11","652744","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",4,"1 bath",3,65,2,60,79,122,4.21,"t",1.48,9
"12","652815","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in nature lodge","Private room",3,"1 shared bath",2,60,90,90,269,104,4.48,"t",0.98,9
"13","652950","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in cottage","Private room",2,"1 shared bath",1,68,90,90,79,86,4.58,"t",0.89,9
"14","659635","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in house","Private room",2,"1 shared bath",2,68,2,60,79,90,4.58,"t",0.84,9
"15","661569","675584",2011-06-07,"within an hour",100,100,"f","t","f","Sillery",46.76978,-71.26591,"Room in bed and breakfast","Hotel room",3,"1 bath",1,145,1,1125,356,66,4.97,"f",0.69,10
"16","760018","4005779",2012-10-29,"within a day",100,100,"f","t","t","Vieux-Limoilou",46.82868,-71.22634,"Entire condominium","Entire home/apt",4,"1 bath",2,135,25,1125,134,70,4.73,"f",0.68,9
"17","878309","4598359",2013-01-05,"within a few hours",100,100,"t","t","t","Sillery",46.78341,-71.25123,"Entire apartment","Entire home/apt",4,"1 bath",2,75,30,365,338,27,4.63,"f",0.28,8
"18","878904","4598359",2013-01-05,"within a few hours",100,100,"t","t","t","Sillery",46.7817,-71.25042,"Entire apartment","Entire home/apt",4,"1 bath",2,50,30,1125,186,19,4.76,"f",0.32,8
"19","896581","4646399",2013-01-09,"within a day",100,0,"f","t","t","Cap-Rouge",46.74721,-71.35105,"Private room in house","Private room",2,"1 shared bath",1,80,2,30,364,6,4.25,"f",0.06,8
"20","916246","1562944",2012-01-03,"N/A",NA,NA,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81423,-71.2087,"Private room in apartment","Private room",2,"1 private bath",0,30,31,90,264,0,NA,"f",NA,9
"21","975749","3704617",2012-09-28,"N/A",NA,NA,"f","t","t","Saint-Sacrement",46.79359,-71.25751,"Entire apartment","Entire home/apt",6,"1 bath",3,75,29,1125,213,49,4.72,"f",0.49,9
